Animal,Symptom 1,Symptom 2,Symptom 3,Disease
goat,swelling in muscle,difficulty walking,crackling sound,blackleg
sheep,loss of appetite,sores on tongue,difficulty walking,foot and mouth
cow,swelling in muscle,loss of appetite,lameness,blackleg
buffalo,blisters on hooves,lameness,loss of appetite,foot and mouth
buffalo,depression,loss of appetite,painless lumps,pneumonia
goat,loss of appetite,depression,painless lumps,lumpy virus
buffalo,shortness of breath,fatigue,sweats,anthrax
sheep,loss of appetite,sores on mouth,difficulty walking,foot and mouth
cow,chest discomfort,sweats,swelling in extremities,anthrax
buffalo,lameness,blisters on mouth,loss of appetite,foot and mouth
sheep,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
buffalo,sores on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,lameness,blisters on mouth,loss of appetite,foot and mouth
goat,chest discomfort,swelling in neck,chills,anthrax
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,painless lumps,depression,loss of appetite,lumpy virus
buffalo,swelling in limb,crackling sound,loss of appetite,blackleg
buffalo,loss of appetite,sores on tongue,difficulty walking,foot and mouth
goat,depression,painless lumps,loss of appetite,lumpy virus
sheep,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,loss of appetite,lameness,crackling sound,blackleg
sheep,depression,painless lumps,loss of appetite,pneumonia
cow,depression,loss of appetite,painless lumps,lumpy virus
goat,loss of appetite,depression,painless lumps,lumpy virus
cow,sores on gums,difficulty walking,loss of appetite,foot and mouth
sheep,loss of appetite,difficulty walking,sores on mouth,foot and mouth
sheep,depression,loss of appetite,painless lumps,lumpy virus
buffalo,sores on tongue,lameness,loss of appetite,foot and mouth
buffalo,loss of appetite,difficulty walking,depression,blackleg
cow,loss of appetite,painless lumps,depression,lumpy virus
sheep,sweats,chills,shortness of breath,anthrax
goat,loss of appetite,painless lumps,depression,pneumonia
buffalo,shortness of breath,sweats,chills,anthrax
buffalo,painless lumps,loss of appetite,depression,pneumonia
cow,loss of appetite,depression,painless lumps,lumpy virus
sheep,painless lumps,loss of appetite,depression,pneumonia
sheep,loss of appetite,depression,painless lumps,pneumonia
sheep,painless lumps,loss of appetite,depression,lumpy virus
buffalo,painless lumps,depression,loss of appetite,pneumonia
buffalo,depression,painless lumps,loss of appetite,lumpy virus
goat,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
cow,crackling sound,lameness,depression,blackleg
buffalo,depression,loss of appetite,painless lumps,pneumonia
buffalo,swelling in muscle,crackling sound,loss of appetite,blackleg
cow,sweats,fatigue,chills,anthrax
cow,swelling in muscle,lameness,crackling sound,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,depression,painless lumps,lumpy virus
sheep,difficulty walking,crackling sound,swelling in limb,blackleg
sheep,loss of appetite,painless lumps,depression,lumpy virus
goat,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
sheep,crackling sound,difficulty walking,depression,blackleg
sheep,lameness,sores on tongue,loss of appetite,foot and mouth
goat,chills,fatigue,swelling in abdomen,anthrax
cow,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
buffalo,painless lumps,loss of appetite,depression,lumpy virus
buffalo,painless lumps,loss of appetite,depression,pneumonia
sheep,shortness of breath,swelling in abdomen,fatigue,anthrax
buffalo,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,loss of appetite,painless lumps,depression,pneumonia
cow,swelling in abdomen,chills,shortness of breath,anthrax
cow,painless lumps,loss of appetite,depression,lumpy virus
buffalo,sweats,fatigue,chest discomfort,anthrax
buffalo,painless lumps,loss of appetite,depression,pneumonia
cow,difficulty walking,blisters on gums,loss of appetite,foot and mouth
cow,loss of appetite,painless lumps,depression,pneumonia
sheep,fatigue,chills,chest discomfort,anthrax
cow,depression,loss of appetite,painless lumps,pneumonia
sheep,crackling sound,depression,difficulty walking,blackleg
goat,painless lumps,depression,loss of appetite,lumpy virus
cow,crackling sound,loss of appetite,difficulty walking,blackleg
cow,loss of appetite,depression,painless lumps,pneumonia
goat,depression,painless lumps,loss of appetite,lumpy virus
goat,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,loss of appetite,difficulty walking,swelling in muscle,blackleg
cow,painless lumps,depression,loss of appetite,pneumonia
buffalo,difficulty walking,sores on gums,loss of appetite,foot and mouth
goat,depression,loss of appetite,painless lumps,pneumonia
cow,depression,painless lumps,loss of appetite,lumpy virus
sheep,loss of appetite,depression,painless lumps,pneumonia
sheep,loss of appetite,painless lumps,depression,pneumonia
goat,loss of appetite,painless lumps,depression,pneumonia
sheep,sweats,chest discomfort,chills,anthrax
sheep,fatigue,chest discomfort,chills,anthrax
sheep,swelling in limb,depression,crackling sound,blackleg
goat,depression,loss of appetite,painless lumps,pneumonia
cow,loss of appetite,depression,painless lumps,pneumonia
buffalo,painless lumps,depression,loss of appetite,lumpy virus
goat,chest discomfort,swelling in extremities,chills,anthrax
sheep,loss of appetite,depression,painless lumps,pneumonia
sheep,depression,loss of appetite,painless lumps,lumpy virus
sheep,swelling in limb,depression,crackling sound,blackleg
goat,sores on hooves,loss of appetite,lameness,foot and mouth
goat,chest discomfort,chills,sweats,anthrax
buffalo,sores on hooves,loss of appetite,difficulty walking,foot and mouth
cow,loss of appetite,blisters on mouth,difficulty walking,foot and mouth
goat,sweats,shortness of breath,chills,anthrax
cow,sweats,fatigue,swelling in abdomen,anthrax
buffalo,shortness of breath,chills,chest discomfort,anthrax
buffalo,chest discomfort,shortness of breath,swelling in neck,anthrax
sheep,loss of appetite,depression,painless lumps,pneumonia
cow,painless lumps,loss of appetite,depression,lumpy virus
cow,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,chest discomfort,fatigue,swelling in neck,anthrax
buffalo,loss of appetite,depression,painless lumps,lumpy virus
goat,depression,lameness,swelling in muscle,blackleg
cow,fatigue,sweats,shortness of breath,anthrax
cow,fatigue,swelling in abdomen,chest discomfort,anthrax
sheep,blisters on mouth,loss of appetite,difficulty walking,foot and mouth
sheep,depression,painless lumps,loss of appetite,pneumonia
goat,depression,painless lumps,loss of appetite,lumpy virus
sheep,depression,painless lumps,loss of appetite,lumpy virus
sheep,sweats,fatigue,chest discomfort,anthrax
goat,blisters on hooves,loss of appetite,lameness,foot and mouth
cow,lameness,swelling in muscle,depression,blackleg
cow,loss of appetite,depression,painless lumps,lumpy virus
sheep,swelling in extremities,chest discomfort,chills,anthrax
cow,loss of appetite,crackling sound,lameness,blackleg
sheep,depression,painless lumps,loss of appetite,lumpy virus
buffalo,lameness,loss of appetite,sores on tongue,foot and mouth
buffalo,sores on gums,lameness,loss of appetite,foot and mouth
goat,painless lumps,loss of appetite,depression,pneumonia
cow,difficulty walking,depression,crackling sound,blackleg
sheep,loss of appetite,depression,painless lumps,lumpy virus
buffalo,loss of appetite,painless lumps,depression,pneumonia
sheep,swelling in abdomen,chills,shortness of breath,anthrax
sheep,loss of appetite,blisters on gums,lameness,foot and mouth
buffalo,fatigue,sweats,chills,anthrax
cow,difficulty walking,loss of appetite,blisters on hooves,foot and mouth
cow,shortness of breath,sweats,chills,anthrax
buffalo,loss of appetite,depression,painless lumps,lumpy virus
goat,fatigue,shortness of breath,chills,anthrax
cow,sweats,chest discomfort,fatigue,anthrax
goat,fatigue,shortness of breath,swelling in abdomen,anthrax
cow,crackling sound,loss of appetite,depression,blackleg
goat,painless lumps,depression,loss of appetite,lumpy virus
cow,chest discomfort,sweats,chills,anthrax
goat,loss of appetite,depression,painless lumps,pneumonia
cow,crackling sound,depression,loss of appetite,blackleg
goat,chest discomfort,sweats,chills,anthrax
goat,swelling in extremities,fatigue,chest discomfort,anthrax
goat,loss of appetite,painless lumps,depression,pneumonia
cow,chest discomfort,swelling in neck,chills,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
sheep,depression,lameness,crackling sound,blackleg
sheep,sores on hooves,lameness,loss of appetite,foot and mouth
buffalo,depression,painless lumps,loss of appetite,pneumonia
cow,painless lumps,loss of appetite,depression,pneumonia
cow,blisters on tongue,loss of appetite,lameness,foot and mouth
goat,painless lumps,loss of appetite,depression,pneumonia
goat,sweats,shortness of breath,chills,anthrax
sheep,painless lumps,loss of appetite,depression,lumpy virus
goat,depression,painless lumps,loss of appetite,lumpy virus
goat,fatigue,chills,swelling in neck,anthrax
cow,sweats,chills,swelling in abdomen,anthrax
cow,loss of appetite,swelling in limb,crackling sound,blackleg
buffalo,painless lumps,loss of appetite,depression,pneumonia
sheep,painless lumps,depression,loss of appetite,pneumonia
sheep,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,shortness of breath,sweats,chills,anthrax
buffalo,blisters on mouth,lameness,loss of appetite,foot and mouth
buffalo,shortness of breath,swelling in extremities,chest discomfort,anthrax
sheep,difficulty walking,loss of appetite,depression,blackleg
cow,painless lumps,depression,loss of appetite,pneumonia
buffalo,loss of appetite,painless lumps,depression,pneumonia
goat,fatigue,sweats,swelling in neck,anthrax
buffalo,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,blisters on tongue,lameness,loss of appetite,foot and mouth
cow,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,lameness,sores on hooves,loss of appetite,foot and mouth
goat,swelling in neck,sweats,fatigue,anthrax
cow,painless lumps,loss of appetite,depression,pneumonia
buffalo,painless lumps,loss of appetite,depression,lumpy virus
buffalo,depression,painless lumps,loss of appetite,lumpy virus
goat,sweats,chest discomfort,fatigue,anthrax
buffalo,painless lumps,loss of appetite,depression,pneumonia
cow,loss of appetite,difficulty walking,blisters on mouth,foot and mouth
sheep,difficulty walking,blisters on hooves,loss of appetite,foot and mouth
cow,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,lameness,blisters on mouth,foot and mouth
cow,crackling sound,loss of appetite,depression,blackleg
goat,blisters on mouth,lameness,loss of appetite,foot and mouth
sheep,painless lumps,depression,loss of appetite,pneumonia
cow,lameness,loss of appetite,sores on mouth,foot and mouth
cow,swelling in muscle,depression,lameness,blackleg
goat,swelling in limb,loss of appetite,lameness,blackleg
goat,depression,lameness,loss of appetite,blackleg
cow,painless lumps,depression,loss of appetite,pneumonia
goat,sores on mouth,loss of appetite,difficulty walking,foot and mouth
cow,loss of appetite,sores on hooves,lameness,foot and mouth
buffalo,loss of appetite,difficulty walking,sores on tongue,foot and mouth
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
buffalo,fatigue,shortness of breath,swelling in neck,anthrax
sheep,chills,chest discomfort,fatigue,anthrax
cow,depression,loss of appetite,painless lumps,lumpy virus
sheep,sweats,fatigue,swelling in extremities,anthrax
goat,painless lumps,depression,loss of appetite,pneumonia
buffalo,depression,loss of appetite,swelling in limb,blackleg
sheep,painless lumps,loss of appetite,depression,pneumonia
buffalo,lameness,loss of appetite,depression,blackleg
cow,loss of appetite,lameness,crackling sound,blackleg
sheep,lameness,swelling in limb,crackling sound,blackleg
goat,painless lumps,depression,loss of appetite,lumpy virus
buffalo,depression,painless lumps,loss of appetite,lumpy virus
sheep,loss of appetite,depression,crackling sound,blackleg
sheep,shortness of breath,fatigue,swelling in neck,anthrax
buffalo,depression,crackling sound,swelling in muscle,blackleg
buffalo,loss of appetite,depression,painless lumps,lumpy virus
sheep,painless lumps,loss of appetite,depression,pneumonia
sheep,loss of appetite,crackling sound,swelling in limb,blackleg
buffalo,sores on tongue,lameness,loss of appetite,foot and mouth
sheep,swelling in limb,crackling sound,loss of appetite,blackleg
sheep,swelling in limb,depression,difficulty walking,blackleg
sheep,fatigue,sweats,chest discomfort,anthrax
cow,loss of appetite,painless lumps,depression,pneumonia
sheep,depression,painless lumps,loss of appetite,lumpy virus
goat,depression,difficulty walking,crackling sound,blackleg
buffalo,swelling in abdomen,shortness of breath,fatigue,anthrax
goat,lameness,sores on hooves,loss of appetite,foot and mouth
sheep,loss of appetite,painless lumps,depression,lumpy virus
sheep,loss of appetite,painless lumps,depression,lumpy virus
cow,depression,painless lumps,loss of appetite,lumpy virus
goat,sores on gums,loss of appetite,difficulty walking,foot and mouth
buffalo,painless lumps,loss of appetite,depression,pneumonia
sheep,fatigue,chest discomfort,sweats,anthrax
sheep,depression,loss of appetite,painless lumps,lumpy virus
sheep,painless lumps,depression,loss of appetite,lumpy virus
cow,loss of appetite,depression,painless lumps,lumpy virus
sheep,loss of appetite,depression,painless lumps,pneumonia
buffalo,loss of appetite,painless lumps,depression,lumpy virus
goat,depression,loss of appetite,painless lumps,lumpy virus
buffalo,chills,sweats,shortness of breath,anthrax
goat,loss of appetite,depression,swelling in muscle,blackleg
sheep,loss of appetite,depression,painless lumps,lumpy virus
buffalo,painless lumps,depression,loss of appetite,pneumonia
cow,loss of appetite,depression,painless lumps,lumpy virus
goat,chest discomfort,swelling in extremities,sweats,anthrax
sheep,loss of appetite,blisters on gums,lameness,foot and mouth
cow,depression,loss of appetite,swelling in limb,blackleg
cow,shortness of breath,sweats,fatigue,anthrax
buffalo,sores on tongue,loss of appetite,difficulty walking,foot and mouth
goat,painless lumps,depression,loss of appetite,pneumonia
buffalo,loss of appetite,blisters on hooves,difficulty walking,foot and mouth
sheep,fatigue,shortness of breath,chills,anthrax
buffalo,loss of appetite,painless lumps,depression,lumpy virus
sheep,sweats,chills,shortness of breath,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
buffalo,shortness of breath,fatigue,sweats,anthrax
goat,chills,shortness of breath,fatigue,anthrax
goat,swelling in muscle,crackling sound,difficulty walking,blackleg
cow,painless lumps,depression,loss of appetite,lumpy virus
buffalo,fatigue,chills,sweats,anthrax
cow,chest discomfort,chills,sweats,anthrax
sheep,loss of appetite,depression,painless lumps,pneumonia
sheep,loss of appetite,difficulty walking,blisters on gums,foot and mouth
buffalo,chills,fatigue,shortness of breath,anthrax
goat,depression,difficulty walking,loss of appetite,blackleg
buffalo,difficulty walking,sores on gums,loss of appetite,foot and mouth
cow,loss of appetite,painless lumps,depression,pneumonia
cow,loss of appetite,painless lumps,depression,lumpy virus
goat,painless lumps,depression,loss of appetite,pneumonia
cow,lameness,loss of appetite,swelling in muscle,blackleg
buffalo,depression,painless lumps,loss of appetite,lumpy virus
goat,depression,loss of appetite,painless lumps,lumpy virus
sheep,painless lumps,loss of appetite,depression,lumpy virus
sheep,swelling in limb,lameness,loss of appetite,blackleg
sheep,depression,loss of appetite,painless lumps,pneumonia
goat,sores on gums,lameness,loss of appetite,foot and mouth
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,shortness of breath,sweats,chest discomfort,anthrax
buffalo,crackling sound,depression,loss of appetite,blackleg
buffalo,blisters on tongue,difficulty walking,loss of appetite,foot and mouth
goat,painless lumps,loss of appetite,depression,pneumonia
cow,fatigue,chest discomfort,sweats,anthrax
buffalo,crackling sound,swelling in limb,depression,blackleg
cow,loss of appetite,painless lumps,depression,lumpy virus
sheep,chills,shortness of breath,chest discomfort,anthrax
cow,fatigue,shortness of breath,chills,anthrax
cow,loss of appetite,painless lumps,depression,lumpy virus
goat,swelling in muscle,loss of appetite,lameness,blackleg
goat,loss of appetite,lameness,swelling in limb,blackleg
cow,depression,crackling sound,swelling in muscle,blackleg
buffalo,sweats,chills,fatigue,anthrax
goat,fatigue,chills,chest discomfort,anthrax
buffalo,blisters on tongue,loss of appetite,difficulty walking,foot and mouth
goat,lameness,crackling sound,depression,blackleg
cow,blisters on mouth,lameness,loss of appetite,foot and mouth
goat,loss of appetite,lameness,sores on tongue,foot and mouth
cow,depression,loss of appetite,painless lumps,lumpy virus
cow,loss of appetite,depression,painless lumps,lumpy virus
buffalo,loss of appetite,depression,crackling sound,blackleg
sheep,loss of appetite,depression,painless lumps,lumpy virus
goat,painless lumps,loss of appetite,depression,lumpy virus
goat,crackling sound,swelling in muscle,difficulty walking,blackleg
sheep,depression,loss of appetite,painless lumps,lumpy virus
sheep,fatigue,swelling in abdomen,sweats,anthrax
sheep,painless lumps,loss of appetite,depression,pneumonia
goat,painless lumps,depression,loss of appetite,pneumonia
buffalo,difficulty walking,swelling in limb,loss of appetite,blackleg
cow,depression,painless lumps,loss of appetite,pneumonia
buffalo,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,fatigue,sweats,swelling in abdomen,anthrax
sheep,depression,loss of appetite,painless lumps,pneumonia
cow,blisters on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,depression,loss of appetite,painless lumps,lumpy virus
sheep,painless lumps,depression,loss of appetite,pneumonia
cow,depression,painless lumps,loss of appetite,pneumonia
cow,loss of appetite,painless lumps,depression,pneumonia
goat,depression,painless lumps,loss of appetite,pneumonia
sheep,chills,fatigue,shortness of breath,anthrax
goat,loss of appetite,painless lumps,depression,pneumonia
cow,swelling in neck,chest discomfort,shortness of breath,anthrax
buffalo,shortness of breath,fatigue,sweats,anthrax
buffalo,crackling sound,loss of appetite,difficulty walking,blackleg
sheep,loss of appetite,depression,painless lumps,pneumonia
cow,difficulty walking,depression,swelling in muscle,blackleg
goat,blisters on mouth,loss of appetite,lameness,foot and mouth
sheep,shortness of breath,swelling in neck,chest discomfort,anthrax
cow,difficulty walking,loss of appetite,swelling in muscle,blackleg
cow,depression,loss of appetite,painless lumps,pneumonia
goat,swelling in limb,crackling sound,difficulty walking,blackleg
sheep,sores on hooves,loss of appetite,lameness,foot and mouth
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,depression,crackling sound,swelling in muscle,blackleg
buffalo,chills,swelling in neck,shortness of breath,anthrax
sheep,blisters on gums,difficulty walking,loss of appetite,foot and mouth
cow,loss of appetite,painless lumps,depression,lumpy virus
buffalo,blisters on hooves,lameness,loss of appetite,foot and mouth
goat,lameness,blisters on mouth,loss of appetite,foot and mouth
cow,depression,loss of appetite,painless lumps,lumpy virus
goat,chills,chest discomfort,sweats,anthrax
goat,loss of appetite,painless lumps,depression,lumpy virus
cow,difficulty walking,swelling in muscle,crackling sound,blackleg
goat,swelling in limb,loss of appetite,crackling sound,blackleg
cow,shortness of breath,swelling in abdomen,chest discomfort,anthrax
buffalo,depression,painless lumps,loss of appetite,pneumonia
goat,blisters on gums,difficulty walking,loss of appetite,foot and mouth
buffalo,loss of appetite,sores on tongue,difficulty walking,foot and mouth
buffalo,painless lumps,loss of appetite,depression,pneumonia
buffalo,painless lumps,depression,loss of appetite,lumpy virus
goat,depression,loss of appetite,painless lumps,lumpy virus
goat,depression,loss of appetite,painless lumps,pneumonia
cow,chest discomfort,sweats,shortness of breath,anthrax
buffalo,loss of appetite,sores on gums,difficulty walking,foot and mouth
buffalo,depression,painless lumps,loss of appetite,pneumonia
cow,shortness of breath,sweats,chest discomfort,anthrax
buffalo,depression,loss of appetite,painless lumps,pneumonia
cow,depression,crackling sound,loss of appetite,blackleg
sheep,sweats,shortness of breath,swelling in extremities,anthrax
goat,depression,painless lumps,loss of appetite,pneumonia
sheep,chest discomfort,fatigue,shortness of breath,anthrax
sheep,depression,loss of appetite,painless lumps,pneumonia
sheep,difficulty walking,sores on hooves,loss of appetite,foot and mouth
sheep,depression,painless lumps,loss of appetite,pneumonia
sheep,sores on tongue,lameness,loss of appetite,foot and mouth
buffalo,painless lumps,loss of appetite,depression,lumpy virus
goat,sweats,shortness of breath,chest discomfort,anthrax
goat,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,lameness,blisters on hooves,foot and mouth
buffalo,swelling in extremities,fatigue,sweats,anthrax
goat,shortness of breath,chest discomfort,fatigue,anthrax
cow,depression,painless lumps,loss of appetite,pneumonia
sheep,swelling in abdomen,sweats,fatigue,anthrax
buffalo,swelling in muscle,loss of appetite,lameness,blackleg
sheep,depression,painless lumps,loss of appetite,pneumonia
buffalo,painless lumps,loss of appetite,depression,pneumonia
goat,loss of appetite,lameness,blisters on tongue,foot and mouth
cow,fatigue,shortness of breath,sweats,anthrax
goat,depression,loss of appetite,painless lumps,pneumonia
buffalo,fatigue,chills,swelling in neck,anthrax
goat,shortness of breath,sweats,chest discomfort,anthrax
buffalo,blisters on hooves,difficulty walking,loss of appetite,foot and mouth
sheep,painless lumps,depression,loss of appetite,pneumonia
cow,crackling sound,lameness,loss of appetite,blackleg
goat,loss of appetite,painless lumps,depression,lumpy virus
cow,painless lumps,depression,loss of appetite,lumpy virus
goat,difficulty walking,loss of appetite,crackling sound,blackleg
buffalo,loss of appetite,depression,painless lumps,lumpy virus
buffalo,swelling in muscle,difficulty walking,crackling sound,blackleg
goat,loss of appetite,depression,painless lumps,pneumonia
cow,depression,loss of appetite,crackling sound,blackleg
buffalo,depression,painless lumps,loss of appetite,lumpy virus
buffalo,loss of appetite,depression,painless lumps,pneumonia
goat,depression,painless lumps,loss of appetite,lumpy virus
buffalo,loss of appetite,painless lumps,depression,pneumonia
cow,depression,swelling in muscle,difficulty walking,blackleg
cow,depression,painless lumps,loss of appetite,lumpy virus
sheep,blisters on hooves,loss of appetite,lameness,foot and mouth
buffalo,chest discomfort,shortness of breath,fatigue,anthrax
cow,chest discomfort,swelling in abdomen,shortness of breath,anthrax
buffalo,depression,painless lumps,loss of appetite,lumpy virus
cow,loss of appetite,difficulty walking,blisters on hooves,foot and mouth
buffalo,depression,loss of appetite,swelling in muscle,blackleg
cow,loss of appetite,painless lumps,depression,lumpy virus
sheep,lameness,depression,loss of appetite,blackleg
goat,blisters on hooves,lameness,loss of appetite,foot and mouth
goat,painless lumps,loss of appetite,depression,pneumonia
goat,depression,painless lumps,loss of appetite,pneumonia
goat,lameness,sores on mouth,loss of appetite,foot and mouth
buffalo,fatigue,sweats,shortness of breath,anthrax
buffalo,depression,loss of appetite,painless lumps,lumpy virus
cow,loss of appetite,blisters on hooves,lameness,foot and mouth
goat,chest discomfort,shortness of breath,chills,anthrax
goat,painless lumps,loss of appetite,depression,lumpy virus
buffalo,swelling in limb,lameness,loss of appetite,blackleg
buffalo,lameness,blisters on mouth,loss of appetite,foot and mouth
cow,depression,painless lumps,loss of appetite,lumpy virus
sheep,loss of appetite,depression,painless lumps,lumpy virus
goat,sores on hooves,loss of appetite,difficulty walking,foot and mouth
buffalo,depression,difficulty walking,loss of appetite,blackleg
goat,sores on tongue,difficulty walking,loss of appetite,foot and mouth
sheep,swelling in limb,loss of appetite,lameness,blackleg
buffalo,loss of appetite,painless lumps,depression,pneumonia
buffalo,loss of appetite,painless lumps,depression,pneumonia
cow,depression,painless lumps,loss of appetite,pneumonia
sheep,crackling sound,swelling in muscle,loss of appetite,blackleg
buffalo,loss of appetite,depression,painless lumps,pneumonia
sheep,fatigue,chest discomfort,sweats,anthrax
goat,sores on mouth,loss of appetite,lameness,foot and mouth
goat,chills,chest discomfort,fatigue,anthrax
sheep,depression,loss of appetite,crackling sound,blackleg
goat,chest discomfort,shortness of breath,chills,anthrax
cow,depression,loss of appetite,painless lumps,pneumonia
cow,lameness,loss of appetite,depression,blackleg
sheep,painless lumps,loss of appetite,depression,lumpy virus
cow,loss of appetite,lameness,sores on hooves,foot and mouth
sheep,painless lumps,depression,loss of appetite,pneumonia
sheep,depression,loss of appetite,painless lumps,pneumonia
goat,loss of appetite,depression,painless lumps,lumpy virus
goat,loss of appetite,blisters on hooves,lameness,foot and mouth
buffalo,sweats,chest discomfort,shortness of breath,anthrax
cow,shortness of breath,sweats,chills,anthrax
sheep,loss of appetite,painless lumps,depression,pneumonia
cow,crackling sound,loss of appetite,depression,blackleg
goat,shortness of breath,sweats,swelling in neck,anthrax
cow,loss of appetite,depression,painless lumps,lumpy virus
goat,swelling in muscle,loss of appetite,difficulty walking,blackleg
cow,depression,loss of appetite,painless lumps,pneumonia
cow,difficulty walking,depression,loss of appetite,blackleg
buffalo,loss of appetite,painless lumps,depression,lumpy virus
goat,painless lumps,depression,loss of appetite,pneumonia
sheep,loss of appetite,painless lumps,depression,lumpy virus
goat,painless lumps,loss of appetite,depression,pneumonia
sheep,difficulty walking,sores on tongue,loss of appetite,foot and mouth
cow,painless lumps,loss of appetite,depression,lumpy virus
